"","dep","id"
"1","FINANCIAL SERVICES",1
"2","SHOES",2
"3","PERSONAL CARE",3
"4","PAINT AND ACCESSORIES",4
"5","DSD GROCERY",5
"6","MEAT - FRESH & FROZEN",6
"7","DAIRY",7
"8","PETS AND SUPPLIES",8
"9","HOUSEHOLD CHEMICALS/SUPP",9
"10","NULL",10
"11","IMPULSE MERCHANDISE",11
"12","PRODUCE",12
"13","CANDY, TOBACCO, COOKIES",13
"14","GROCERY DRY GOODS",14
"15","BOYS WEAR",15
"16","FABRICS AND CRAFTS",16
"17","JEWELRY AND SUNGLASSES",17
"18","MENS WEAR",18
"19","ACCESSORIES",19
"20","HOME MANAGEMENT",20
"21","FROZEN FOODS",21
"22","SERVICE DELI",22
"23","INFANT CONSUMABLE HARDLINES",23
"24","PRE PACKED DELI",24
"25","COOK AND DINE",25
"26","PHARMACY OTC",26
"27","LADIESWEAR",27
"28","COMM BREAD",28
"29","BAKERY",29
"30","HOUSEHOLD PAPER GOODS",30
"31","CELEBRATION",31
"32","HARDWARE",32
"33","BEAUTY",33
"34","AUTOMOTIVE",34
"35","BOOKS AND MAGAZINES",35
"36","SEAFOOD",36
"37","OFFICE SUPPLIES",37
"38","LAWN AND GARDEN",38
"39","SHEER HOSIERY",39
"40","WIRELESS",40
"41","BEDDING",41
"42","BATH AND SHOWER",42
"43","HORTICULTURE AND ACCESS",43
"44","HOME DECOR",44
"45","TOYS",45
"46","INFANT APPAREL",46
"47","LADIES SOCKS",47
"48","PLUS AND MATERNITY",48
"49","ELECTRONICS",49
"50","GIRLS WEAR, 4-6X  AND 7-14",50
"51","BRAS & SHAPEWEAR",51
"52","LIQUOR,WINE,BEER",52
"53","SLEEPWEAR/FOUNDATIONS",53
"54","CAMERAS AND SUPPLIES",54
"55","SPORTING GOODS",55
"56","PLAYERS AND ELECTRONICS",56
"57","PHARMACY RX",57
"58","MENSWEAR",58
"59","OPTICAL - FRAMES",59
"60","SWIMWEAR/OUTERWEAR",60
"61","OTHER DEPARTMENTS",61
"62","MEDIA AND GAMING",62
"63","FURNITURE",63
"64","OPTICAL - LENSES",64
"65","SEASONAL",65
"66","LARGE HOUSEHOLD GOODS",66
"67","1-HR PHOTO",67
"68","CONCEPT STORES",68
"69","HEALTH AND BEAUTY AIDS",69
